Code,Name,Country,Exchange,Currency,Type,Isin,ticker,name
ARMR,Betashares Global Defence ETF,Australia,AU,AUD,ETF,,ARMR,Betashares Global Defence ETF
ARN,Aldoro Resources Ltd,Australia,AU,AUD,Common Stock,AU0000017733,ARN,Aldoro Resources Ltd
ARR,American Rare EARTHS Ltd,Australia,AU,AUD,Common Stock,NZARRE0004S7,ARR,American Rare EARTHS Ltd
ART,Airtasker Ltd,Australia,AU,AUD,Common Stock,AU0000135998,ART,Airtasker Ltd
ARU,Arafura Rare EARTHS Ltd,Australia,AU,AUD,Common Stock,AU000000ARU5,ARU,Arafura Rare EARTHS Ltd
ARV,Artemis Resources Ltd,Australia,AU,AUD,Common Stock,AU000000ARV3,ARV,Artemis Resources Ltd
ARX,Aroa Biosurgery Ltd,Australia,AU,AUD,Common Stock,NZARXE0001S1,ARX,Aroa Biosurgery Ltd
AS1,Asara Resources Ltd,Australia,AU,AUD,Common Stock,AU000000AS16,AS1,Asara Resources Ltd
AS2,Askari Metals Ltd,Australia,AU,AUD,Common Stock,AU0000153256,AS2,Askari Metals Ltd
ASAO,ABRDN Sust Asian Opportunities Active ETF,Australia,AU,AUD,ETF,AU0000236804,ASAO,ABRDN Sust Asian Opportunities Active ETF
ASB,Austal Ltd,Australia,AU,AUD,Common Stock,AU000000ASB3,ASB,Austal Ltd
ASE,Astute Metals NL,Australia,AU,AUD,Common Stock,AU000000ARO8,ASE,Astute Metals NL
ASG,Autosports Group Ltd,Australia,AU,AUD,Common Stock,AU000000ASG2,ASG,Autosports Group Ltd
ASH,Ashley Services Group Ltd,Australia,AU,AUD,Common Stock,AU000000ASH0,ASH,Ashley Services Group Ltd
ASIA,Betashares Asia Technology Tigers ETF,Australia,AU,AUD,ETF,AU0000022063,ASIA,Betashares Asia Technology Tigers ETF
ASK,Abacus Storage King,Australia,AU,AUD,Common Stock,AU0000286213,ASK,Abacus Storage King
ASL,Andean Silver Ltd,Australia,AU,AUD,Common Stock,,ASL,Andean Silver Ltd
ASM,Australian Strategic Materials Ltd,Australia,AU,AUD,Common Stock,AU0000094153,ASM,Australian Strategic Materials Ltd
ASN,Anson Resources Ltd,Australia,AU,AUD,Common Stock,AU000000ASN8,ASN,Anson Resources Ltd
ASP,Aspermont Ltd,Australia,AU,AUD,Common Stock,AU000000ASP3,ASP,Aspermont Ltd
ASQ,Australian Silica Quartz Group Ltd,Australia,AU,AUD,Common Stock,AU0000066169,ASQ,Australian Silica Quartz Group Ltd
ASR,Asra Minerals Ltd,Australia,AU,AUD,Common Stock,AU0000222663,ASR,Asra Minerals Ltd
ASV,Asset Vision Co Ltd,Australia,AU,AUD,Common Stock,AU0000113235,ASV,Asset Vision Co Ltd
ASX,ASX Ltd,Australia,AU,AUD,Common Stock,AU000000ASX7,ASX,ASX Ltd
AT1,Atomo Diagnostics Ltd,Australia,AU,AUD,Common Stock,AU0000080327,AT1,Atomo Diagnostics Ltd
ATA,Atturra Ltd,Australia,AU,AUD,Common Stock,AU0000190308,ATA,Atturra Ltd
ATC,Altech Batteries Ltd,Australia,AU,AUD,Common Stock,AU000000ATC9,ATC,Altech Batteries Ltd
